"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2005"	"2005"	"Illinois"	"17"	1084	12609903	8.6
	"2005"	"2005"	"Indiana"	"18"	745	6278616	11.9
	"2005"	"2005"	"Iowa"	"19"	332	2964454	11.2
	"2005"	"2005"	"Kansas"	"20"	361	2745299	13.1
	"2005"	"2005"	"Kentucky"	"21"	566	4182742	13.5
	"2005"	"2005"	"Louisiana"	"22"	505	4576628	11.0
	"2005"	"2005"	"Maine"	"23"	175	1318787	13.3
	"2005"	"2005"	"Maryland"	"24"	471	5592379	8.4
	"2005"	"2005"	"Massachusetts"	"25"	480	6403290	7.5
	"2005"	"2005"	"Michigan"	"26"	1108	10051137	11.0
	"2005"	"2005"	"Minnesota"	"27"	546	5119598	10.7
	"2005"	"2005"	"Mississippi"	"28"	362	2905943	12.5
	"2005"	"2005"	"Missouri"	"29"	722	5790300	12.5
	"2005"	"2005"	"Montana"	"30"	206	940102	21.9
	"2005"	"2005"	"Nebraska"	"31"	187	1761497	10.6
	"2005"	"2005"	"Nevada"	"32"	480	2432143	19.7
	"2005"	"2005"	"New Hampshire"	"33"	162	1298492	12.5
	"2005"	"2005"	"New Jersey"	"34"	535	8651974	6.2
	"2005"	"2005"	"New Mexico"	"35"	340	1932274	17.6
	"2005"	"2005"	"New York"	"36"	1187	19132610	6.2
	"2005"	"2005"	"North Carolina"	"37"	1008	8705407	11.6
	"2005"	"2005"	"North Dakota"	"38"	92	646089	14.2
	"2005"	"2005"	"Ohio"	"39"	1340	11463320	11.7
	"2005"	"2005"	"Oklahoma"	"40"	513	3548597	14.5
	"2005"	"2005"	"Oregon"	"41"	559	3613202	15.5
	"2005"	"2005"	"Pennsylvania"	"42"	1426	12449990	11.5
	"2005"	"2005"	"Rhode Island"	"44"	70	1067916	6.6
	"2005"	"2005"	"South Carolina"	"45"	510	4270150	11.9
	"2005"	"2005"	"South Dakota"	"46"	121	775493	15.6
	"2005"	"2005"	"Tennessee"	"47"	856	5991057	14.3
	"2005"	"2005"	"Texas"	"48"	2410	22778123	10.6
	"2005"	"2005"	"Utah"	"49"	344	2457719	14.0
	"2005"	"2005"	"Vermont"	"50"	77	621215	12.4
	"2005"	"2005"	"Virginia"	"51"	865	7577105	11.4
	"2005"	"2005"	"Washington"	"53"	820	6257305	13.1
	"2005"	"2005"	"West Virginia"	"54"	254	1820492	14.0
	"2005"	"2005"	"Wisconsin"	"55"	641	5546166	11.6
	"2005"	"2005"	"Wyoming"	"56"	90	514157	17.5
	"2006"	"2006"	"Alabama"	"01"	579	4628981	12.5
	"2006"	"2006"	"Alaska"	"02"	135	675302	20.0
